"country","dias","otimista","casos_estimados","pessimista","estimativa_mortes","casos_confirmados"
"Belgium",2019-12-30,0,0,0,0,0
"Belgium",2019-12-31,0,0,0,0,0
"Belgium",2020-01-01,0,0,0,0,0
"Belgium",2020-01-02,0,0,0,0,0
"Belgium",2020-01-03,0,0,0,0,0
"Belgium",2020-01-04,0,0,0,0,0
"Belgium",2020-01-05,0,0,0,0,0
"Belgium",2020-01-06,0,0,0,0,0
"Belgium",2020-01-07,0,0,0,0,0
"Belgium",2020-01-08,0,0,0,0,0
"Belgium",2020-01-09,0,0,0,0,0
"Belgium",2020-01-10,0,0,0,0,0
"Belgium",2020-01-11,0,0,0,0,0
"Belgium",2020-01-12,0,0,0,0,0
"Belgium",2020-01-13,0,0,0,0,0
"Belgium",2020-01-14,0,0,0,0,0
"Belgium",2020-01-15,0,0,0,0,0
"Belgium",2020-01-16,0,0,0,0,0
"Belgium",2020-01-17,0,0,0,0,0
"Belgium",2020-01-18,0,0,0,0,0
"Belgium",2020-01-19,0,0,0,0,0
"Belgium",2020-01-20,0,0,0,0,0
"Belgium",2020-01-21,0,0,0,0,0
"Belgium",2020-01-22,0,0,0,0,0
"Belgium",2020-01-23,0,0,0,0,0
"Belgium",2020-01-24,0,0,0,0,0
"Belgium",2020-01-25,0,0,0,0,0
"Belgium",2020-01-26,0,0,0,0,0
"Belgium",2020-01-27,0,0,0,0,0
"Belgium",2020-01-28,0,0,0,0,0
"Belgium",2020-01-29,0,0,0,0,0
"Belgium",2020-01-30,0,0,0,0,0
"Belgium",2020-01-31,0,0,0,0,0
"Belgium",2020-02-01,0,0,0,0,0
"Belgium",2020-02-02,0,0,0,0,0
"Belgium",2020-02-03,1,1,1,0,1
"Belgium",2020-02-04,1,1,1,0,1
"Belgium",2020-02-05,1,1,1,0,1
"Belgium",2020-02-06,1,1,1,0,1
"Belgium",2020-02-07,1,1,1,0,1
"Belgium",2020-02-08,1,1,1,0,1
"Belgium",2020-02-09,2,2,2,0,1
"Belgium",2020-02-10,2,2,2,0,1
"Belgium",2020-02-11,2,2,2,0,1
"Belgium",2020-02-12,3,3,3,0,1
"Belgium",2020-02-13,3,3,3,0,1
"Belgium",2020-02-14,4,4,4,0,1
"Belgium",2020-02-15,4,5,6,0,1
"Belgium",2020-02-16,5,6,7,0,1
"Belgium",2020-02-17,6,7,8,0,1
"Belgium",2020-02-18,7,8,9,0,1
"Belgium",2020-02-19,9,10,11,0,1
"Belgium",2020-02-20,11,12,13,0,1
"Belgium",2020-02-21,12,14,16,1,1
"Belgium",2020-02-22,15,17,19,1,1
"Belgium",2020-02-23,18,21,24,1,1
"Belgium",2020-02-24,22,25,28,1,1
"Belgium",2020-02-25,26,30,34,1,1
"Belgium",2020-02-26,31,35,39,1,1
"Belgium",2020-02-27,37,42,47,2,1
"Belgium",2020-02-28,45,51,57,2,1
"Belgium",2020-02-29,53,60,67,2,1
"Belgium",2020-03-01,63,72,81,3,2
"Belgium",2020-03-02,75,86,97,3,8
"Belgium",2020-03-03,90,103,116,4,13
"Belgium",2020-03-04,108,123,138,5,23
"Belgium",2020-03-05,129,147,165,6,50
"Belgium",2020-03-06,155,176,197,7,109
"Belgium",2020-03-07,185,211,237,8,169
"Belgium",2020-03-08,221,252,283,10,200
"Belgium",2020-03-09,264,301,338,12,239
"Belgium",2020-03-10,316,360,404,14,267
"Belgium",2020-03-11,377,430,483,17,314
"Belgium",2020-03-12,451,514,577,20,399
"Belgium",2020-03-13,540,615,690,24,559
"Belgium",2020-03-14,645,735,825,28,689
"Belgium",2020-03-15,771,878,985,34,886
"Belgium",2020-03-16,922,1050,1178,41,1085
"Belgium",2020-03-17,1102,1255,1408,49,1243
"Belgium",2020-03-18,1317,1500,1683,58,1486
"Belgium",2020-03-19,1575,1794,2013,69,1795
"Belgium",2020-03-20,1882,2144,2406,83,2257
"Belgium",2020-03-21,2250,2563,2876,99,2815
"Belgium",2020-03-22,2690,3064,3438,118,3401
"Belgium",2020-03-23,3216,3663,4110,142,3743
"Belgium",2020-03-24,3843,4378,4913,169,4269
"Belgium",2020-03-25,4595,5234,5873,202,4937
"Belgium",2020-03-26,5493,6257,7021,242,6235
"Belgium",2020-03-27,6565,7479,8393,289,7284
"Belgium",2020-03-28,7849,8941,10033,346,9134
"Belgium",2020-03-29,9382,10688,11994,413,NA
"Belgium",2020-03-30,11215,12776,14337,494,NA
"Belgium",2020-03-31,13407,15273,17139,590,NA
"Belgium",2020-04-01,16027,18257,20487,706,NA
"Belgium",2020-04-02,19158,21824,24490,843,NA
"Belgium",2020-04-03,22902,26089,29276,1008,NA
"Belgium",2020-04-04,27377,31187,34997,1205,NA
